AX,AY,AZ
-8599.384,-10676.612,10061.886
-9017.958,-11999.302,7407.038
4417.256,-13146.8,8046.338
7303.372,-12298.54,10178.042
6826.448,-10293.432,12844.722
5862.25,-8836.378,14568.976
4623.006,-7915.118,15611.768
2755.992,-4663.372,17356.858
1520.364,-2317.856,18091.928
2151.08,2511.474,17900.64
3855.168,4981.742,17147.608
5200.424,7437.402,15706.478
6794.586,8098.89,14698.19
7777.13,9244.452,13313.824
8876.102,10242.252,11556.134
-4257.278,12169.506,9288.28
-6074.268,10817.702,12097.938
-5441.046,9353.292,13936.706
-4373.338,7837.66,15408.9
-2398.988,6835.164,16499.07
4684.386,-6267.504,-12946.332
4659.116,-5351.002,-13375.668
5823.522,-9937.83,-9984.138
-4676.694,-11830.916,-7031.806
-5970.99,-10467.192,-9120.572
-4695.182,-8816.786,-11180.084
-3726.432,-7132.682,-12552.566
-5273.37,8378.008,-8934.568
-7085.932,11683.136,-6967.048
-5597.302,9675.924,-9974.026
-4864.522,7384.748,-11996.516
-3404.16,6812.59,-12805.934
1512.57,6606.368,-13237.156
2883.098,8537.382,-12158.97
4955.274,8978.49,-11330.322
8667.904,8983.048,-9239.3
8584.05,10470.082,-8009.208
5338.924,1843.404,-13109.444
